id,gender,hours,height,weight,clevel,sportg,pic,age,teamsind,student
1,female,14,171.5,66.4,University,athletics,0,23,Individual,y
2,male,12,178,77,University,athletics,0,23,Individual,n
3,male,12,177,62.2,National/International,athletics,0,20,Individual,y
4,male,10.5,177,72.2,University,athletics,0,18,Individual,y
5,female,16,162,51.8,University,athletics,0,33,Individual,y
6,male,15,167,74,University,athletics,0,20,Individual,y
7,male,12,175,73.6,National/International,athletics,1,21,Individual,y
8,male,15,168,72.4,National/International,athletics,0,21,Individual,y
9,male,10,181.6,76.4,University,athletics,1,25,Individual,n
10,male,4,171.9,87,University,rugby,0,25,Team,n
11,male,12.5,178.5,70.8,National/International,athletics,0,21,Individual,y
12,male,15,183,71.8,University,athletics,1,22,Individual,y
13,female,6,170,71.3,Recreational,gym,0,26,Individual,y
14,female,10,172.5,68.4,National/International,athletics,0,21,Individual,n
15,female,8,178.5,77,University,athletics,0,19,Individual,y
16,male,8,182,64,National/International,athletics,1,19,Individual,y
17,male,11,174,69,University,athletics,1,19,Individual,y
18,female,8,172,70.8,University,athletics,1,20,Individual,y
19,male,10,173,74.6,University,other,1,25,Individual,y
20,female,13,173,64.6,National/International,athletics,0,20,Individual,y
21,female,13,165.5,70.4,National/International,athletics,0,21,Individual,y
22,female,16,161,56.2,University,athletics,0,25,Individual,n
23,male,11,175,73,University,athletics,1,20,Individual,y
24,male,12.5,181,87.2,National/International,athletics,1,18,Individual,y
25,female,10,161,59,University,athletics,1,20,Individual,y
26,male,9,179,94.6,University,rugby,0,21,Team,y
27,female,30.2,175.1,89.4,National/International,football,1,20,Team,y
28,male,13,183.6,77.6,University,other,1,21,Individual,y
29,female,3.5,176,65.2,University,netball,0,21,Team,y
30,female,8,168,53.6,University,athletics,1,21,Individual,y
31,female,4,162,66.6,University,football,1,19,Team,y
32,male,12,156,79.6,Recreational,gym,0,21,Individual,y
33,female,10,150,92.6,University,netball,0,19,Team,y
34,female,6.5,180,69,University,netball,0,20,Team,y
35,female,6,179,70.6,University,rugby,0,20,Team,y
36,female,8,174,71.8,University,football,1,20,Team,y
37,female,6,162,61.4,National/International,other,0,20,Individual,y
38,female,9,162,63.2,University,cricket,1,20,Team,y
39,female,5,164,57.4,University,other,1,20,Individual,y
40,male,9.5,182,69,National/International,athletics,0,19,Individual,y
41,male,10,175,67.4,University,other,0,19,Individual,y
42,male,4,175,81.2,University,football,0,21,Team,y
43,female,10,160.5,55.8,National/International,other,0,20,Individual,y
44,female,6,163,51,University,athletics,1,19,Individual,y
45,male,3,176,62.2,Recreational,football,1,20,Team,y
46,male,4,182,72,University,football,0,19,Team,y
47,male,12,167.5,67.8,University,hockey,0,20,Team,y
48,male,4,167,58.6,University,athletics,0,21,Individual,y
49,male,8,184.5,103.2,University,rugby,0,20,Team,y
50,male,10,173,79.6,University,rugby,1,20,Team,y
51,male,7,182,84.8,University,football,0,20,Team,y
52,male,4,169.5,66.2,University,cricket,1,20,Team,y
53,male,4,195,107.2,University,rugby,1,19,Team,y
54,male,4,181,91,National/International,hockey,1,21,Team,y
55,female,3,163,63.4,University,other,0,19,Individual,y
56,male,10,193,108.6,University,rugby,1,20,Team,y
57,male,10,181,106.7,University,rugby,1,20,Team,y
58,male,12,179,88,University,rugby,0,20,Team,y
59,male,10,184,71,University,rugby,1,20,Team,y
60,male,7,182,85.6,University,rugby,0,19,Team,y
61,male,11,182,129.2,University,rugby,0,20,Team,y
62,male,1,173,71.8,University,football,0,20,Team,y
63,female,5,162.5,67.8,University,gym,0,20,Individual,y
64,female,6,160.5,66,University,other,1,20,Individual,y
65,female,6,154,56.8,University,other,0,20,Individual,y
66,female,5,168,102,University,rugby,1,20,Team,y
67,female,10,167.5,56.2,University,hockey,0,20,Team,y
68,male,9,167,72.6,National/International,other,0,19,Individual,y
69,male,8,175,63.6,University,other,0,19,Individual,y
70,male,7,167,72.6,Recreational,rugby,0,21,Team,y
71,male,7,175,63.6,University,rugby,1,19,Team,y
72,male,7,175,84.6,University,football,0,21,Team,y
73,male,9,183,131.2,University,rugby,0,19,Team,y
74,male,6,182,84.4,University,rugby,0,20,Team,y
75,male,2,171,70.8,University,rugby,0,21,Team,y
76,male,15,195.5,91.2,University,cricket,0,19,Team,y
77,male,5,179,79,University,football,0,19,Team,y
78,male,10,176.5,71.4,University,football,0,21,Team,y
79,male,3,178,69.2,University,football,0,20,Team,y
80,male,14,191,78.2,University,athletics,1,19,Individual,y
81,male,14,184,90,University,athletics,0,20,Individual,y
82,male,4,171,70,University,cricket,0,26,Team,y
83,male,4,171,64,National/International,athletics,0,21,Individual,y
84,male,35,185,125,University,rugby,0,20,Team,y
85,male,35,186,102,University,rugby,0,20,Team,y
86,male,30,173,109,University,rugby,0,21,Team,y
