id,time,FFFS,BIS,BAS,GDP,I,RI,RR
1,1,17,28,72,23,21,8,20
1,2,16,34,63,21,16,9,17
1,3,15,27,66,23,14,9,20
1,4,15,26,68,21,17,9,21
2,1,10,36,67,17,18,10,22
2,2,13,38,75,22,19,9,25
2,3,13,36,66,19,16,10,21
2,4,10,40,58,16,15,8,19
3,1,13,38,49,22,11,4,12
3,2,14,28,47,19,11,5,12
3,3,15,26,68,21,17,9,21
3,4,18,38,71,23,20,8,20
4,1,13,32,79,28,17,11,23
4,2,15,30,63,23,15,8,17
4,3,13,31,69,24,16,10,19
4,4,11,37,66,23,14,9,20
5,1,19,55,63,22,10,12,19
5,2,24,47,75,24,14,12,25
5,3,21,35,76,25,14,11,26
5,4,24,47,61,22,12,10,17
6,1,12,37,66,23,12,9,22
6,2,13,38,71,25,15,11,20
6,3,15,48,74,25,19,10,20
6,4,16,43,73,25,14,11,23
7,1,11,43,70,23,16,12,19
7,2,17,38,64,21,16,10,17
7,4,14,39,74,24,17,13,20
8,1,18,40,82,27,19,14,22
8,2,23,44,83,26,20,15,22
8,3,21,41,82,27,18,14,23
8,4,16,38,81,26,20,11,24
9,1,17,32,67,23,17,8,19
9,2,16,27,61,22,16,8,15
9,3,14,28,64,24,15,9,16
9,4,20,27,64,24,15,8,17
10,1,15,67,84,26,17,11,30
10,2,13,59,66,23,14,8,21
10,3,14,53,65,21,13,9,22
10,4,16,48,68,21,16,9,22
11,1,22,45,76,24,20,8,24
11,2,22,35,92,28,21,12,31
11,3,24,42,86,26,22,12,26
11,4,21,39,82,26,21,10,25
12,1,10,24,57,26,7,8,16
12,2,8,21,62,27,9,8,18
12,3,12,24,58,24,9,9,16
12,4,12,25,63,26,12,8,17
13,1,14,37,82,27,16,16,23
13,2,12,40,74,28,15,14,17
13,3,12,46,71,24,16,12,19
13,4,14,36,79,26,18,15,20
14,1,20,50,70,23,12,11,24
14,2,21,54,80,23,16,13,28
14,3,21,63,87,25,16,16,30
14,4,21,53,77,24,14,12,27
15,1,15,32,56,13,17,8,18
15,2,18,38,53,14,15,8,16
15,3,21,30,65,17,19,13,16
15,4,14,36,53,14,11,10,18
16,1,13,38,85,26,21,14,24
16,2,11,39,84,26,19,13,26
16,3,12,45,80,24,23,12,21
16,4,11,49,82,23,21,11,27
17,1,14,33,63,21,16,11,15
17,2,13,28,57,23,12,9,13
17,3,12,33,55,20,12,8,15
17,4,12,32,55,19,12,8,16
18,1,12,32,67,23,16,10,18
18,2,11,27,64,24,13,9,18
18,3,11,25,66,26,16,8,16
18,4,11,25,67,25,13,10,19
19,1,12,40,82,26,16,13,27
19,2,15,41,86,25,18,13,30
19,3,14,40,91,28,19,14,30
19,4,15,39,91,27,19,15,30
20,1,28,51,86,27,22,8,29
20,2,29,50,82,24,21,11,26
20,3,29,45,86,23,25,9,29
20,4,29,39,73,20,18,8,27
21,1,19,41,85,27,19,9,30
21,2,18,38,71,20,17,11,23
21,3,19,62,72,21,14,13,24
21,4,21,58,65,22,14,9,20
22,1,21,43,73,24,21,10,18
22,2,19,34,73,27,20,12,14
22,3,17,44,57,19,18,9,11
22,4,18,44,74,22,24,11,17
23,1,8,29,58,22,10,9,17
23,2,8,41,63,24,11,9,19
23,3,10,37,62,18,15,9,20
23,4,12,37,58,23,11,7,17
24,1,10,22,46,16,10,9,11
24,2,14,25,57,21,10,10,16
24,3,12,22,58,24,11,9,14
24,4,12,23,66,24,13,10,19
25,1,15,49,71,26,14,10,21
25,2,12,50,67,23,14,10,20
25,3,12,53,68,24,15,10,19
25,4,11,54,62,21,14,9,18
26,1,11,49,56,19,15,6,16
27,1,10,34,73,22,21,9,21
27,2,8,42,76,21,23,11,21
28,1,11,37,63,20,18,10,15
29,1,20,37,73,22,20,10,21
30,1,16,31,60,19,14,9,18
31,1,23,49,80,21,24,10,25
33,1,10,33,62,23,13,8,18
34,1,21,37,67,20,17,10,20
35,1,14,29,81,26,20,15,20
36,1,17,38,62,18,12,10,22
37,1,29,55,69,24,13,13,19
37,2,23,39,61,22,14,10,15
37,3,22,37,59,24,12,8,15
37,4,24,34,62,22,14,9,17
38,1,18,32,78,24,20,7,27
38,2,17,34,87,27,20,11,29
38,3,16,25,69,23,18,7,21
38,4,18,35,75,22,17,11,25
39,1,21,49,82,26,20,12,24
39,2,19,42,65,16,19,10,20
40,1,14,29,68,25,13,8,22
40,2,15,26,72,26,13,8,25
40,3,16,29,74,27,13,9,25
40,4,14,25,73,28,13,8,24
41,1,21,45,68,27,14,11,16
41,2,22,40,67,24,13,11,19
41,3,19,34,60,24,11,10,15
42,1,18,37,63,20,12,9,22
43,1,17,50,76,22,20,10,24
43,2,19,48,65,22,17,9,17
43,3,17,50,69,23,18,9,19
43,4,18,57,84,19,24,13,28
44,1,25,34,78,26,16,11,25
45,1,16,28,53,14,16,7,16
45,2,15,24,52,15,16,8,13
45,3,16,23,51,16,13,7,15
45,4,14,25,59,19,19,8,13
46,1,16,39,54,19,11,8,16
47,1,18,50,60,18,11,7,24
47,2,15,44,69,19,15,11,24
48,1,13,35,53,15,13,9,16
49,1,14,35,72,20,19,9,24
49,2,20,45,75,20,21,9,25
49,3,22,42,78,22,20,9,27
50,1,19,46,69,26,15,8,20
50,2,10,33,75,27,14,12,22
51,1,14,29,48,15,10,6,17
52,1,10,33,66,13,24,9,20
53,1,11,33,53,9,23,7,14
53,2,10,36,60,13,22,9,16
54,1,13,28,73,22,21,10,20
55,1,14,33,71,25,18,8,20
56,1,11,22,66,23,14,8,21
57,1,13,40,76,24,17,8,27
57,2,15,38,66,22,13,9,22
58,1,14,42,72,23,15,10,24
59,1,19,45,67,19,20,10,18
60,1,25,45,81,21,20,13,27
60,2,18,41,73,21,15,13,24
60,3,19,44,71,21,17,11,22
60,4,20,50,70,20,17,12,21
61,1,21,50,91,27,23,12,29
61,2,22,43,88,25,24,13,26
61,3,24,48,80,25,21,9,25
62,1,25,43,77,25,19,9,24
63,1,22,44,94,28,20,15,31
64,1,25,44,65,21,14,10,20
65,1,28,56,67,22,17,7,21
65,2,27,49,75,24,19,9,23
66,1,28,52,75,23,19,10,23
67,1,21,40,74,25,17,9,23
68,1,21,41,77,22,19,10,26
69,1,12,29,82,28,14,14,26
70,1,11,36,69,18,21,8,22
71,1,11,51,76,27,15,7,27
71,2,11,50,77,27,16,6,28
71,3,8,50,63,28,9,5,21
71,4,8,44,67,28,10,7,22
72,1,19,38,66,24,11,8,23
73,1,21,36,70,21,15,13,21
74,1,16,26,57,16,16,8,17
75,1,29,52,71,19,19,9,24
76,1,17,54,83,26,19,10,28
77,1,26,39,82,22,25,9,26
78,1,28,41,79,23,20,10,26
79,1,20,41,60,17,17,6,20
80,1,12,27,65,23,14,10,18
80,2,13,27,65,26,14,11,14
80,3,13,32,70,25,16,8,21
80,4,13,43,59,21,14,8,16
81,1,10,27,78,26,17,15,20
81,2,13,24,61,21,15,10,15
81,3,11,25,67,24,17,10,16
81,4,12,28,74,23,18,13,20
82,1,23,46,81,27,18,13,23
82,2,19,46,82,27,17,13,25
82,3,21,41,77,21,21,11,24
83,1,13,53,72,27,12,10,23
83,2,16,42,66,27,12,6,21
83,3,17,46,58,21,10,6,21
83,4,19,41,74,26,15,8,25
84,1,16,27,76,23,19,10,24
84,2,17,27,70,22,19,8,21
84,3,18,31,78,24,20,11,23
84,4,21,33,76,27,18,8,23
85,1,22,38,71,26,16,10,19
85,2,18,35,74,26,15,10,23
85,3,13,30,75,27,15,8,25
85,4,18,27,71,24,13,12,22
86,1,14,36,66,22,17,8,19
86,2,14,32,56,15,16,6,19
86,3,14,37,61,19,17,8,17
86,4,16,36,58,17,16,6,19
87,1,19,47,71,25,15,8,23
87,2,19,52,64,18,17,5,24
88,1,14,39,60,18,13,14,15
88,2,11,47,73,21,17,14,21
88,4,15,33,70,19,18,14,19
89,1,17,32,69,20,16,9,24
89,2,18,37,73,20,16,10,27
89,3,15,35,64,23,12,7,22
